Status;Distance Macro;Distance Micro;Magnitude Macro;Magnitude Micro;
1;389;0;405;0;
1;388;0;453;0;
1;394;0;302;0;
1;396;0;346;0;
1;405;0;296;0;
1;407;0;192;0;
1;408;0;394;0;
1;416;0;239;0;
1;424;0;296;0;
1;430;0;183;0;
1;435;0;339;0;
1;441;0;628;0;
1;441;0;521;0;
1;446;0;537;0;
1;451;0;382;0;
1;449;0;472;0;
1;454;0;234;0;
1;457;0;129;0;
1;457;0;129;0;
1;462;0;256;0;
1;463;0;276;0;
1;470;0;294;0;
1;476;0;267;0;
1;478;0;166;0;
1;478;0;166;0;
1;481;0;325;0;
1;480;0;308;0;
1;480;0;308;0;
1;480;0;308;0;
1;485;0;122;0;
1;485;0;122;0;
1;487;0;193;0;
1;490;0;177;0;
1;496;0;235;0;
1;502;0;210;0;
1;504;0;257;0;
1;504;0;257;0;
1;504;0;257;0;
1;504;0;257;0;
1;504;0;257;0;
1;504;0;257;0;
2;0;408;0;2267;
2;0;409;0;2233;
2;0;412;0;1405;
2;0;412;0;1374;
2;0;413;0;2873;
1;508;0;239;0;
1;510;0;223;0;
1;511;0;160;0;
1;511;0;160;0;
1;513;0;135;0;
1;516;0;314;0;
1;516;0;174;0;
1;518;0;155;0;
1;522;0;413;0;
1;523;0;241;0;
1;522;0;194;0;
1;523;0;172;0;
1;524;0;130;0;
1;525;0;163;0;
1;525;0;163;0;
1;525;0;163;0;
1;525;0;163;0;
1;524;0;182;0;
2;0;403;0;1241;
2;0;404;0;1230;
2;0;406;0;1218;
2;0;408;0;1241;
1;516;0;291;0;
1;514;0;184;0;
1;511;0;207;0;
1;511;0;207;0;
1;509;0;312;0;
1;503;0;235;0;
1;500;0;179;0;
1;497;0;488;0;
1;489;0;246;0;
1;482;0;246;0;
1;478;0;407;0;
1;473;0;221;0;
1;463;0;510;0;
1;459;0;279;0;
1;456;0;495;0;
1;448;0;658;0;
1;439;0;554;0;
1;432;0;505;0;
1;429;0;487;0;
1;429;0;487;0;
1;428;0;236;0;
1;430;0;238;0;
1;429;0;492;0;
1;426;0;480;0;
1;424;0;290;0;
1;422;0;217;0;
1;416;0;286;0;
1;411;0;312;0;
1;403;0;720;0;
1;390;0;316;0;
1;382;0;605;0;
1;381;0;234;0;
1;381;0;234;0;
1;374;0;295;0;
1;366;0;558;0;
1;362;0;463;0;
1;354;0;333;0;
1;353;0;645;0;
1;345;0;404;0;
1;335;0;1037;0;
1;332;0;412;0;
1;328;0;246;0;
1;328;0;608;0;
1;328;0;374;0;
1;334;0;550;0;
1;331;0;1214;0;
1;326;0;659;0;
1;324;0;739;0;
1;325;0;782;0;
1;316;0;1031;0;
1;305;0;1242;0;
1;306;0;624;0;
1;301;0;1043;0;
1;288;0;1013;0;
1;283;0;1015;0;
1;283;0;1015;0;
1;281;0;1685;0;
1;266;0;1615;0;
1;261;0;1212;0;
1;259;0;525;0;
1;257;0;1129;0;
1;263;0;855;0;
1;256;0;2368;0;
1;247;0;1035;0;
1;249;0;1464;0;
1;244;0;1920;0;
1;238;0;2450;0;
1;230;0;3168;0;
1;217;0;2050;0;
1;205;0;3147;0;
1;202;0;1576;0;
1;203;0;655;0;
1;203;0;1185;0;
1;201;0;3539;0;
1;200;0;2077;0;
1;201;0;1315;0;
1;202;0;1629;0;
1;202;0;1678;0;
1;203;0;3466;0;
1;204;0;2248;0;
1;204;0;2306;0;
1;205;0;1372;0;
1;207;0;2056;0;
1;214;0;896;0;
1;215;0;740;0;
1;215;0;740;0;
1;227;0;615;0;
1;227;0;615;0;
1;236;0;375;0;
1;241;0;765;0;
1;244;0;540;0;
1;249;0;1003;0;
1;255;0;1588;0;
1;263;0;855;0;
1;265;0;922;0;
1;265;0;922;0;
1;264;0;1395;0;
1;265;0;827;0;
1;272;0;971;0;
1;277;0;468;0;
1;280;0;536;0;
1;287;0;619;0;
1;291;0;650;0;
1;295;0;705;0;
1;298;0;865;0;
1;298;0;835;0;
1;298;0;835;0;
1;303;0;629;0;
1;308;0;769;0;
1;311;0;723;0;
1;312;0;361;0;
1;315;0;465;0;
1;321;0;605;0;
1;325;0;335;0;
1;327;0;519;0;
1;331;0;475;0;
1;334;0;338;0;
1;339;0;677;0;
1;348;0;585;0;
1;352;0;480;0;
1;364;0;699;0;
1;367;0;284;0;
1;367;0;192;0;
1;375;0;378;0;
1;377;0;391;0;
1;378;0;164;0;
1;380;0;266;0;
1;386;0;226;0;
1;389;0;191;0;
1;389;0;191;0;
1;389;0;191;0;
1;394;0;272;0;
1;418;0;211;0;
1;425;0;159;0;
1;438;0;140;0;
1;438;0;140;0;
1;438;0;140;0;
1;447;0;149;0;
1;447;0;149;0;
1;447;0;149;0;
2;0;411;0;1527;
2;0;411;0;1527;
2;0;410;0;1414;
2;0;410;0;1424;
2;0;411;0;1605;
1;473;0;231;0;
1;473;0;231;0;
1;473;0;231;0;
1;482;0;130;0;
1;499;0;172;0;
1;505;0;285;0;
1;514;0;145;0;
1;519;0;514;0;
1;501;0;622;0;
1;491;0;242;0;
1;473;0;377;0;
1;473;0;249;0;
1;474;0;373;0;
1;472;0;214;0;
1;472;0;214;0;
1;472;0;214;0;
1;473;0;205;0;
1;473;0;205;0;
1;473;0;205;0;
1;473;0;205;0;
2;0;432;0;2399;
2;0;429;0;1711;
2;0;431;0;1018;
2;0;431;0;763;
2;0;432;0;603;
2;0;432;0;792;
2;0;433;0;695;
2;0;433;0;695;
2;0;431;0;1106;
2;0;424;0;1033;
2;0;418;0;1201;
2;0;418;0;1052;
2;0;420;0;1758;
2;0;418;0;1807;
2;0;415;0;924;
2;0;408;0;1294;
2;0;406;0;1585;
2;0;412;0;1425;
2;0;418;0;1010;
2;0;411;0;1453;
2;0;405;0;1409;
2;0;405;0;727;
2;0;407;0;1106;
2;0;410;0;902;
2;0;410;0;393;
2;0;409;0;935;
2;0;405;0;621;
2;0;400;0;1381;
2;0;397;0;1271;
2;0;399;0;764;
2;0;399;0;825;
2;0;399;0;922;
2;0;397;0;565;
2;0;397;0;565;
2;0;397;0;836;
2;0;398;0;692;
2;0;401;0;1315;
2;0;403;0;1391;
2;0;404;0;810;
2;0;404;0;740;
2;0;406;0;879;
2;0;406;0;879;
2;0;410;0;1402;
2;0;420;0;1519;
2;0;422;0;780;
2;0;422;0;945;
2;0;423;0;944;
2;0;423;0;1060;
2;0;423;0;614;
2;0;425;0;657;
2;0;425;0;657;
2;0;424;0;960;
2;0;422;0;1268;
2;0;420;0;1744;
2;0;420;0;1412;
2;0;423;0;772;
2;0;422;0;625;
2;0;432;0;666;
2;0;433;0;431;
2;0;433;0;431;
2;0;433;0;431;
2;0;433;0;431;
2;0;437;0;759;
2;0;436;0;986;
2;0;439;0;808;
2;0;444;0;811;
2;0;445;0;1038;
2;0;442;0;1113;
2;0;442;0;1309;
2;0;441;0;1044;
2;0;444;0;919;
2;0;444;0;919;
2;0;444;0;919;
2;0;444;0;552;
2;0;444;0;552;
2;0;444;0;552;
2;0;444;0;552;
2;0;444;0;552;
2;0;444;0;552;
2;0;444;0;552;
2;0;444;0;552;
2;0;442;0;701;
2;0;442;0;701;
2;0;443;0;357;
2;0;443;0;357;
2;0;443;0;357;
2;0;443;0;357;
2;0;442;0;684;
2;0;440;0;491;
2;0;440;0;491;
2;0;440;0;491;
2;0;440;0;491;
2;0;440;0;491;
2;0;440;0;491;
2;0;440;0;491;
2;0;440;0;491;
2;0;441;0;1091;
2;0;442;0;1219;
2;0;438;0;1245;
2;0;432;0;864;
2;0;430;0;723;
2;0;431;0;567;
2;0;431;0;567;
2;0;432;0;433;
2;0;432;0;466;
2;0;429;0;541;
2;0;427;0;663;
2;0;420;0;859;
2;0;420;0;859;
2;0;420;0;859;
2;0;420;0;1083;
2;0;420;0;730;
2;0;421;0;550;
2;0;421;0;550;
2;0;419;0;461;
2;0;419;0;461;
2;0;414;0;864;
2;0;412;0;1054;
2;0;413;0;1156;
2;0;414;0;617;
2;0;414;0;617;
2;0;414;0;617;
2;0;412;0;751;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;412;0;467;
2;0;410;0;521;
2;0;411;0;437;
2;0;412;0;714;
2;0;410;0;961;
2;0;410;0;740;
2;0;410;0;740;
2;0;410;0;740;
2;0;410;0;740;
2;0;410;0;441;
2;0;410;0;441;
2;0;412;0;387;
2;0;412;0;475;
2;0;412;0;475;
2;0;412;0;475;
2;0;412;0;475;
2;0;412;0;475;
2;0;412;0;475;
2;0;412;0;584;
